,Rank,Title,Link,Score
0,1.0,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,9.11
1,2.0,Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,9.1
2,3.0,Steins;Gate,https://myanimelist.net/anime/9253/Steins_Gate,9.08
3,4.0,Gintama°,https://myanimelist.net/anime/28977/Gintama°,9.07
4,5.0,Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,9.07
5,6.0,Shingeki no Kyojin Season 3 Part 2,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,9.06
6,7.0,Gintama: The Final,https://myanimelist.net/anime/39486/Gintama__The_Final,9.05
7,8.0,Gintama',https://myanimelist.net/anime/9969/Gintama,9.04
8,9.0,Hunter x Hunter (2011),https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,9.04
9,10.0,Gintama': Enchousen,https://myanimelist.net/anime/15417/Gintama__Enchousen,9.03
10,11.0,Ginga Eiyuu Densetsu,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu,9.02
11,12.0,Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,9.01
12,13.0,Gintama.,https://myanimelist.net/anime/34096/Gintama,8.99
13,14.0,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,8.99
14,15.0,3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,8.94
15,16.0,Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,8.94
16,17.0,Gintama,https://myanimelist.net/anime/918/Gintama,8.94
17,18.0,Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,8.94
18,19.0,Bocchi the Rock!,https://myanimelist.net/anime/47917/Bocchi_the_Rock,8.93
19,20.0,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,8.92
20,21.0,Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,8.91
21,22.0,Violet Evergarden Movie,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,8.91
22,23.0,Owarimonogatari 2nd Season,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,8.89
23,24.0,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,8.88
24,25.0,Monster,https://myanimelist.net/anime/19/Monster,8.86
25,26.0,Kimi no Na wa.,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,8.85
26,27.0,Kimetsu no Yaiba: Yuukaku-hen,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,8.82
27,28.0,Gintama.: Shirogane no Tamashii-hen,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,8.81
28,29.0,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,8.81
29,30.0,Mob Psycho 100 II,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,8.81
30,31.0,Shingeki no Kyojin: The Final Season,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,8.81
31,32.0,Kizumonogatari III: Reiketsu-hen,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,8.79
32,33.0,Sen to Chihiro no Kamikakushi,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,8.78
33,34.0,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,8.78
